2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008846,W00008846,195,85.2,34,14.8,W00008846,W00008846,150,60.7,71,28.7,221,89.4,W00008846,W00008846,205,88.7,26,11.3,W00008846,W00008846,143,57.9,24,9.7,167,67.6
W00008847,W00008847,316,93.2,23,6.8,W00008847,W00008847,235,65.6,108,30.2,343,95.8,W00008847,W00008847,316,93.2,23,6.8,W00008847,W00008847,228,63.7,41,11.5,269,75.2
W00008848,W00008848,251,90.3,27,9.7,W00008848,W00008848,216,74.0,75,25.7,291,99.7,W00008848,W00008848,253,91.0,25,9.0,W00008848,W00008848,169,57.3,33,11.2,202,68.5
W00008849,W00008849,224,90.3,24,9.7,W00008849,W00008849,201,77.3,51,19.6,252,96.9,W00008849,W00008849,226,91.9,20,8.1,W00008849,W00008849,156,60.7,16,6.2,172,66.9
W00008850,W00008850,357,89.2,43,10.8,W00008850,W00008850,314,76.2,74,18.0,388,94.2,W00008850,W00008850,365,90.8,37,9.2,W00008850,W00008850,277,67.2,25,6.1,302,73.3
W00008851,W00008851,274,92.6,22,7.4,W00008851,W00008851,227,74.9,73,24.1,300,99.0,W00008851,W00008851,281,95.3,14,4.7,W00008851,W00008851,176,57.7,27,8.9,203,66.6
W00008852,W00008852,194,86.6,30,13.4,W00008852,W00008852,158,68.7,60,26.1,218,94.8,W00008852,W00008852,201,89.7,23,10.3,W00008852,W00008852,120,52.4,35,15.3,155,67.7
W00008853,W00008853,182,66.2,93,33.8,W00008853,W00008853,252,87.8,28,9.8,280,97.6,W00008853,W00008853,196,71.0,80,29.0,W00008853,W00008853,209,73.1,12,4.2,221,77.3
W00008854,W00008854,219,69.5,96,30.5,W00008854,W00008854,293,91.0,16,5.0,309,96.0,W00008854,W00008854,229,72.2,88,27.8,W00008854,W00008854,196,60.5,23,7.1,219,67.6
W00008855,W00008855,230,75.7,74,24.3,W00008855,W00008855,224,72.7,64,20.8,288,93.5,W00008855,W00008855,238,77.8,68,22.2,W00008855,W00008855,189,61.0,15,4.8,204,65.8
W00008856,W00008856,193,73.4,70,26.6,W00008856,W00008856,231,83.4,34,12.3,265,95.7,W00008856,W00008856,201,76.1,63,23.9,W00008856,W00008856,145,52.0,19,6.8,164,58.8
W00008857,W00008857,183,70.7,76,29.3,W00008857,W00008857,209,78.0,38,14.2,247,92.2,W00008857,W00008857,194,74.9,65,25.1,W00008857,W00008857,163,60.1,10,3.7,173,63.8
W00008858,W00008858,172,68.0,81,32.0,W00008858,W00008858,232,87.2,27,10.2,259,97.4,W00008858,W00008858,186,73.5,67,26.5,W00008858,W00008858,149,56.0,25,9.4,174,65.4
W00008859,W00008859,244,70.9,100,29.1,W00008859,W00008859,275,78.1,58,16.5,333,94.6,W00008859,W00008859,253,73.8,90,26.2,W00008859,W00008859,173,49.4,31,8.9,204,58.3
W00008860,W00008860,161,66.3,82,33.7,W00008860,W00008860,194,77.6,25,10.0,219,87.6,W00008860,W00008860,174,71.6,69,28.4,W00008860,W00008860,112,45.9,15,6.1,127,52.0
W00008861,W00008861,315,86.3,50,13.7,W00008861,W00008861,304,82.2,35,9.5,339,91.7,W00008861,W00008861,317,86.8,48,13.2,W00008861,W00008861,199,53.8,18,4.9,217,58.7
W00008862,W00008862,181,77.4,53,22.6,W00008862,W00008862,177,71.1,62,24.9,239,96.0,W00008862,W00008862,182,77.1,54,22.9,W00008862,W00008862,156,62.4,18,7.2,174,69.6
W00008863,W00008863,180,78.6,49,21.4,W00008863,W00008863,201,84.5,25,10.5,226,95.0,W00008863,W00008863,188,82.1,41,17.9,W00008863,W00008863,104,43.2,23,9.5,127,52.7
W00008864,W00008864,219,75.5,71,24.5,W00008864,W00008864,257,84.0,25,8.2,282,92.2,W00008864,W00008864,237,81.7,53,18.3,W00008864,W00008864,127,41.8,31,10.2,158,52.0
W00008865,W00008865,200,78.4,55,21.6,W00008865,W00008865,192,73.8,51,19.6,243,93.4,W00008865,W00008865,204,80.6,49,19.4,W00008865,W00008865,132,50.2,22,8.4,154,58.6
W00008866,W00008866,150,62.5,90,37.5,W00008866,W00008866,212,83.1,22,8.6,234,91.7,W00008866,W00008866,164,68.3,76,31.7,W00008866,W00008866,137,53.5,14,5.5,151,59.0
W00008867,W00008867,202,70.1,86,29.9,W00008867,W00008867,249,81.4,34,11.1,283,92.5,W00008867,W00008867,218,75.7,70,24.3,W00008867,W00008867,151,49.3,31,10.1,182,59.4
W00008868,W00008868,215,71.2,87,28.8,W00008868,W00008868,238,75.8,36,11.5,274,87.3,W00008868,W00008868,226,74.8,76,25.2,W00008868,W00008868,181,56.7,18,5.6,199,62.3
W00008869,W00008869,327,78.8,88,21.2,W00008869,W00008869,325,75.4,63,14.6,388,90.0,W00008869,W00008869,349,84.3,65,15.7,W00008869,W00008869,182,42.2,40,9.3,222,51.5
W00008870,W00008870,234,75.7,75,24.3,W00008870,W00008870,270,85.2,41,12.9,311,98.1,W00008870,W00008870,244,79.0,65,21.0,W00008870,W00008870,212,67.1,18,5.7,230,72.8
W00008871,W00008871,249,72.4,95,27.6,W00008871,W00008871,270,75.6,30,8.4,300,84.0,W00008871,W00008871,254,73.8,90,26.2,W00008871,W00008871,170,47.6,30,8.4,200,56.0
W00008872,W00008872,215,79.9,54,20.1,W00008872,W00008872,218,77.9,26,9.3,244,87.2,W00008872,W00008872,229,84.8,41,15.2,W00008872,W00008872,149,53.4,18,6.5,167,59.9
W00008873,W00008873,218,71.9,85,28.1,W00008873,W00008873,255,80.4,35,11.0,290,91.4,W00008873,W00008873,225,74.3,78,25.7,W00008873,W00008873,165,52.4,30,9.5,195,61.9
W00008874,W00008874,259,73.2,95,26.8,W00008874,W00008874,263,71.1,53,14.3,316,85.4,W00008874,W00008874,264,74.8,89,25.2,W00008874,W00008874,192,51.8,18,4.9,210,56.7
W00008875,W00008875,226,61.9,139,38.1,W00008875,W00008875,314,82.6,43,11.3,357,93.9,W00008875,W00008875,235,64.4,130,35.6,W00008875,W00008875,213,55.5,16,4.2,229,59.7
