2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00009377,W00009377,212,76.8,64,23.2,W00009377,W00009377,264,94.3,14,5.0,278,99.3,W00009377,W00009377,220,79.7,56,20.3,W00009377,W00009377,147,52.1,34,12.1,181,64.2
W00009378,W00009378,267,75.4,87,24.6,W00009378,W00009378,316,86.8,44,12.1,360,98.9,W00009378,W00009378,286,81.5,65,18.5,W00009378,W00009378,192,52.9,43,11.8,235,64.7
W00009379,W00009379,181,71.5,72,28.5,W00009379,W00009379,211,82.1,38,14.8,249,96.9,W00009379,W00009379,201,80.4,49,19.6,W00009379,W00009379,154,59.7,22,8.5,176,68.2
W00009380,W00009380,193,76.6,59,23.4,W00009380,W00009380,235,92.9,13,5.1,248,98.0,W00009380,W00009380,200,79.4,52,20.6,W00009380,W00009380,129,51.2,19,7.5,148,58.7
W00009381,W00009381,224,76.2,70,23.8,W00009381,W00009381,257,85.4,36,12.0,293,97.4,W00009381,W00009381,239,81.3,55,18.7,W00009381,W00009381,203,67.2,17,5.6,220,72.8
W00009382,W00009382,221,79.5,57,20.5,W00009382,W00009382,265,93.3,18,6.3,283,99.6,W00009382,W00009382,228,82.3,49,17.7,W00009382,W00009382,157,55.5,31,11.0,188,66.5
W00009383,W00009383,212,75.4,69,24.6,W00009383,W00009383,253,89.4,24,8.5,277,97.9,W00009383,W00009383,219,77.9,62,22.1,W00009383,W00009383,161,56.7,22,7.7,183,64.4
W00009384,W00009384,239,69.1,107,30.9,W00009384,W00009384,323,91.8,23,6.5,346,98.3,W00009384,W00009384,258,74.8,87,25.2,W00009384,W00009384,192,54.7,33,9.4,225,64.1
W00009385,W00009385,281,74.9,94,25.1,W00009385,W00009385,347,91.1,22,5.8,369,96.9,W00009385,W00009385,284,75.7,91,24.3,W00009385,W00009385,201,52.9,29,7.6,230,60.5
W00009386,W00009386,352,85.4,60,14.6,W00009386,W00009386,347,82.6,34,8.1,381,90.7,W00009386,W00009386,369,89.6,43,10.4,W00009386,W00009386,173,41.3,35,8.4,208,49.7
W00009387,W00009387,252,86.6,39,13.4,W00009387,W00009387,230,75.9,36,11.9,266,87.8,W00009387,W00009387,256,87.7,36,12.3,W00009387,W00009387,138,46.0,17,5.7,155,51.7
W00009389,W00009389,298,81.6,67,18.4,W00009389,W00009389,329,89.2,24,6.5,353,95.7,W00009389,W00009389,309,84.7,56,15.3,W00009389,W00009389,150,40.4,41,11.1,191,51.5
W00009390,W00009390,284,81.8,63,18.2,W00009390,W00009390,328,93.4,15,4.3,343,97.7,W00009390,W00009390,289,83.3,58,16.7,W00009390,W00009390,164,46.7,35,10.0,199,56.7
W00009391,W00009391,362,87.2,53,12.8,W00009391,W00009391,362,81.7,48,10.8,410,92.5,W00009391,W00009391,372,89.6,43,10.4,W00009391,W00009391,205,45.9,34,7.6,239,53.5
W00009392,W00009392,253,81.4,58,18.6,W00009392,W00009392,255,81.0,34,10.8,289,91.8,W00009392,W00009392,259,83.5,51,16.5,W00009392,W00009392,127,40.2,29,9.2,156,49.4
W00009393,W00009393,211,86.8,32,13.2,W00009393,W00009393,218,88.3,22,8.9,240,97.2,W00009393,W00009393,210,86.4,33,13.6,W00009393,W00009393,115,46.4,19,7.7,134,54.1
W00009394,W00009394,248,74.9,83,25.1,W00009394,W00009394,310,90.6,12,3.5,322,94.1,W00009394,W00009394,270,81.6,61,18.4,W00009394,W00009394,153,44.7,26,7.6,179,52.3
W00009395,W00009395,208,73.8,74,26.2,W00009395,W00009395,253,87.8,20,6.9,273,94.7,W00009395,W00009395,220,78.6,60,21.4,W00009395,W00009395,124,43.1,31,10.8,155,53.9
W00009396,W00009396,251,80.2,62,19.8,W00009396,W00009396,282,88.1,15,4.7,297,92.8,W00009396,W00009396,260,83.1,53,16.9,W00009396,W00009396,119,36.8,31,9.6,150,46.4
W00009397,W00009397,262,77.1,78,22.9,W00009397,W00009397,312,86.4,25,6.9,337,93.3,W00009397,W00009397,279,82.1,61,17.9,W00009397,W00009397,176,48.8,32,8.9,208,57.7
W00009398,W00009398,236,89.1,29,10.9,W00009398,W00009398,194,70.3,22,8.0,216,78.3,W00009398,W00009398,235,89.0,29,11.0,W00009398,W00009398,108,39.3,14,5.1,122,44.4
W00009399,W00009399,227,75.9,72,24.1,W00009399,W00009399,279,89.4,17,5.4,296,94.8,W00009399,W00009399,247,82.1,54,17.9,W00009399,W00009399,118,37.7,22,7.0,140,44.7
W00009400,W00009400,290,81.5,66,18.5,W00009400,W00009400,294,81.7,44,12.2,338,93.9,W00009400,W00009400,298,83.9,57,16.1,W00009400,W00009400,139,38.4,22,6.1,161,44.5
W00009401,W00009401,263,84.6,48,15.4,W00009401,W00009401,291,91.2,15,4.7,306,95.9,W00009401,W00009401,264,84.9,47,15.1,W00009401,W00009401,150,47.0,24,7.5,174,54.5
W00009402,W00009402,233,78.5,64,21.5,W00009402,W00009402,263,85.7,25,8.1,288,93.8,W00009402,W00009402,245,82.5,52,17.5,W00009402,W00009402,135,43.5,35,11.3,170,54.8
W00009403,W00009403,274,83.8,53,16.2,W00009403,W00009403,289,85.5,25,7.4,314,92.9,W00009403,W00009403,269,82.5,57,17.5,W00009403,W00009403,134,39.5,28,8.3,162,47.8
W00009404,W00009404,222,84.4,41,15.6,W00009404,W00009404,216,79.1,33,12.1,249,91.2,W00009404,W00009404,230,87.8,32,12.2,W00009404,W00009404,112,41.3,26,9.6,138,50.9
W00009405,W00009405,226,90.4,24,9.6,W00009405,W00009405,185,70.6,29,11.1,214,81.7,W00009405,W00009405,227,90.8,23,9.2,W00009405,W00009405,77,30.0,16,6.2,93,36.2
W00009407,W00009407,216,69.0,97,31.0,W00009407,W00009407,300,92.0,22,6.7,322,98.7,W00009407,W00009407,234,74.3,81,25.7,W00009407,W00009407,175,53.4,31,9.5,206,62.9
W00009408,W00009408,231,93.1,17,6.9,W00009408,W00009408,154,60.4,48,18.8,202,79.2,W00009408,W00009408,224,90.7,23,9.3,W00009408,W00009408,92,35.8,16,6.2,108,42.0
W00009409,W00009409,243,81.8,54,18.2,W00009409,W00009409,262,85.6,24,7.8,286,93.4,W00009409,W00009409,253,85.5,43,14.5,W00009409,W00009409,147,47.6,23,7.4,170,55.0
W00009410,W00009410,317,90.3,34,9.7,W00009410,W00009410,337,94.7,11,3.1,348,97.8,W00009410,W00009410,322,91.7,29,8.3,W00009410,W00009410,132,36.6,47,13.0,179,49.6
W00009411,W00009411,301,76.4,93,23.6,W00009411,W00009411,355,89.2,23,5.8,378,95.0,W00009411,W00009411,313,79.4,81,20.6,W00009411,W00009411,193,48.5,51,12.8,244,61.3
W00009412,W00009412,250,80.4,61,19.6,W00009412,W00009412,246,77.4,40,12.6,286,90.0,W00009412,W00009412,259,83.3,52,16.7,W00009412,W00009412,150,47.2,41,12.9,191,60.1
W00009413,W00009413,223,78.8,60,21.2,W00009413,W00009413,254,87.9,13,4.5,267,92.4,W00009413,W00009413,232,82.0,51,18.0,W00009413,W00009413,121,42.2,36,12.5,157,54.7
W00009414,W00009414,234,88.0,32,12.0,W00009414,W00009414,242,88.3,18,6.6,260,94.9,W00009414,W00009414,236,88.7,30,11.3,W00009414,W00009414,149,54.6,32,11.7,181,66.3
W00009415,W00009415,282,82.9,58,17.1,W00009415,W00009415,297,85.8,28,8.1,325,93.9,W00009415,W00009415,295,86.3,47,13.7,W00009415,W00009415,172,49.6,38,11.0,210,60.6
W00009416,W00009416,283,82.3,61,17.7,W00009416,W00009416,306,86.9,21,6.0,327,92.9,W00009416,W00009416,294,85.7,49,14.3,W00009416,W00009416,154,43.5,28,7.9,182,51.4
W00009417,W00009417,233,84.4,43,15.6,W00009417,W00009417,245,86.3,28,9.9,273,96.2,W00009417,W00009417,241,87.3,35,12.7,W00009417,W00009417,141,49.6,26,9.2,167,58.8
W00009418,W00009418,227,85.3,39,14.7,W00009418,W00009418,238,87.5,15,5.5,253,93.0,W00009418,W00009418,228,85.7,38,14.3,W00009418,W00009418,98,35.9,35,12.8,133,48.7
W00009419,W00009419,210,75.0,70,25.0,W00009419,W00009419,266,92.7,13,4.5,279,97.2,W00009419,W00009419,223,79.1,59,20.9,W00009419,W00009419,148,51.7,28,9.8,176,61.5
W00009420,W00009420,278,83.0,57,17.0,W00009420,W00009420,314,91.8,22,6.4,336,98.2,W00009420,W00009420,285,85.3,49,14.7,W00009420,W00009420,145,42.5,49,14.4,194,56.9
W00009421,W00009421,246,87.9,34,12.1,W00009421,W00009421,238,84.1,39,13.8,277,97.9,W00009421,W00009421,251,89.6,29,10.4,W00009421,W00009421,135,47.5,17,6.0,152,53.5
W00009422,W00009422,241,76.3,75,23.7,W00009422,W00009422,288,87.3,26,7.9,314,95.2,W00009422,W00009422,256,81.0,60,19.0,W00009422,W00009422,173,52.9,30,9.2,203,62.1
W00009423,W00009423,327,88.6,42,11.4,W00009423,W00009423,254,67.7,49,13.1,303,80.8,W00009423,W00009423,333,90.2,36,9.8,W00009423,W00009423,114,30.2,20,5.3,134,35.5
W00009424,W00009424,333,90.0,37,10.0,W00009424,W00009424,273,72.2,23,6.1,296,78.3,W00009424,W00009424,340,91.9,30,8.1,W00009424,W00009424,93,24.5,14,3.7,107,28.2
W00009425,W00009425,286,85.6,48,14.4,W00009425,W00009425,260,76.5,36,10.6,296,87.1,W00009425,W00009425,295,88.3,39,11.7,W00009425,W00009425,131,38.1,14,4.1,145,42.2
W00009426,W00009426,252,88.4,33,11.6,W00009426,W00009426,236,79.2,23,7.7,259,86.9,W00009426,W00009426,245,85.7,41,14.3,W00009426,W00009426,106,35.7,18,6.1,124,41.8
W00009427,W00009427,260,88.7,33,11.3,W00009427,W00009427,259,85.2,30,9.9,289,95.1,W00009427,W00009427,264,90.1,29,9.9,W00009427,W00009427,138,45.4,31,10.2,169,55.6
W00009428,W00009428,345,88.9,43,11.1,W00009428,W00009428,312,79.8,27,6.9,339,86.7,W00009428,W00009428,349,89.9,39,10.1,W00009428,W00009428,118,30.3,18,4.6,136,34.9
W00009429,W00009429,248,90.2,27,9.8,W00009429,W00009429,197,70.1,20,7.1,217,77.2,W00009429,W00009429,250,90.9,25,9.1,W00009429,W00009429,81,28.9,17,6.1,98,35.0
W00009430,W00009430,202,84.9,36,15.1,W00009430,W00009430,198,81.1,8,3.3,206,84.4,W00009430,W00009430,200,84.4,37,15.6,W00009430,W00009430,89,36.3,17,6.9,106,43.2
W00009431,W00009431,203,84.2,38,15.8,W00009431,W00009431,169,67.3,20,8.0,189,75.3,W00009431,W00009431,210,87.1,31,12.9,W00009431,W00009431,91,36.0,10,4.0,101,40.0
W00009432,W00009432,232,88.5,30,11.5,W00009432,W00009432,187,70.6,24,9.1,211,79.7,W00009432,W00009432,233,88.6,30,11.4,W00009432,W00009432,73,27.7,24,9.1,97,36.8
W00009433,W00009433,356,81.3,82,18.7,W00009433,W00009433,295,66.0,62,13.9,357,79.9,W00009433,W00009433,382,87.2,56,12.8,W00009433,W00009433,170,38.2,26,5.8,196,44.0
W00009434,W00009434,369,92.5,30,7.5,W00009434,W00009434,246,60.9,34,8.4,280,69.3,W00009434,W00009434,372,93.2,27,6.8,W00009434,W00009434,82,20.3,15,3.7,97,24.0
W00009435,W00009435,163,86.7,25,13.3,W00009435,W00009435,122,63.5,40,20.8,162,84.3,W00009435,W00009435,164,88.2,22,11.8,W00009435,W00009435,70,36.6,13,6.8,83,43.4
W00009436,W00009436,268,85.6,45,14.4,W00009436,W00009436,260,81.0,36,11.2,296,92.2,W00009436,W00009436,272,86.9,41,13.1,W00009436,W00009436,116,35.9,15,4.6,131,40.5
W00009437,W00009437,311,91.2,30,8.8,W00009437,W00009437,254,70.9,32,8.9,286,79.8,W00009437,W00009437,311,90.9,31,9.1,W00009437,W00009437,100,28.0,11,3.1,111,31.1
W00009438,W00009438,199,85.8,33,14.2,W00009438,W00009438,190,79.8,22,9.2,212,89.0,W00009438,W00009438,205,88.4,27,11.6,W00009438,W00009438,83,34.9,20,8.4,103,43.3
W00009439,W00009439,246,86.0,40,14.0,W00009439,W00009439,227,76.9,31,10.5,258,87.4,W00009439,W00009439,240,85.1,42,14.9,W00009439,W00009439,102,34.7,14,4.8,116,39.5
W00009440,W00009440,252,84.8,45,15.2,W00009440,W00009440,216,71.5,41,13.6,257,85.1,W00009440,W00009440,261,87.9,36,12.1,W00009440,W00009440,112,37.6,17,5.7,129,43.3
W00009441,W00009441,376,90.2,41,9.8,W00009441,W00009441,260,61.0,50,11.7,310,72.7,W00009441,W00009441,378,90.6,39,9.4,W00009441,W00009441,104,24.2,22,5.1,126,29.3
W00009442,W00009442,163,79.5,42,20.5,W00009442,W00009442,160,77.3,21,10.1,181,87.4,W00009442,W00009442,172,83.9,33,16.1,W00009442,W00009442,82,39.2,14,6.7,96,45.9
W00009443,W00009443,284,91.0,28,9.0,W00009443,W00009443,231,72.6,22,6.9,253,79.5,W00009443,W00009443,292,93.0,22,7.0,W00009443,W00009443,94,29.4,10,3.1,104,32.5
W00009444,W00009444,264,88.6,34,11.4,W00009444,W00009444,225,74.0,30,9.9,255,83.9,W00009444,W00009444,262,87.9,36,12.1,W00009444,W00009444,105,34.1,19,6.2,124,40.3
W00009445,W00009445,222,87.1,33,12.9,W00009445,W00009445,181,69.1,42,16.0,223,85.1,W00009445,W00009445,223,87.5,32,12.5,W00009445,W00009445,113,43.5,9,3.5,122,47.0
W00009446,W00009446,343,90.5,36,9.5,W00009446,W00009446,244,63.7,15,3.9,259,67.6,W00009446,W00009446,345,91.0,34,9.0,W00009446,W00009446,82,21.5,14,3.7,96,25.2
W00009447,W00009447,212,89.1,26,10.9,W00009447,W00009447,165,68.5,46,19.1,211,87.6,W00009447,W00009447,217,90.8,22,9.2,W00009447,W00009447,75,31.2,29,12.1,104,43.3
W00009448,W00009448,279,91.2,27,8.8,W00009448,W00009448,184,59.7,64,20.8,248,80.5,W00009448,W00009448,286,93.5,20,6.5,W00009448,W00009448,115,37.6,9,2.9,124,40.5
W00009450,W00009450,359,92.1,31,7.9,W00009450,W00009450,245,63.1,83,21.4,328,84.5,W00009450,W00009450,360,93.3,26,6.7,W00009450,W00009450,119,30.8,22,5.7,141,36.5
W00009451,W00009451,315,84.2,59,15.8,W00009451,W00009451,318,83.0,19,5.0,337,88.0,W00009451,W00009451,317,84.8,57,15.2,W00009451,W00009451,117,30.8,31,8.2,148,39.0
W00009452,W00009452,275,81.6,62,18.4,W00009452,W00009452,233,67.3,34,9.8,267,77.1,W00009452,W00009452,290,85.8,48,14.2,W00009452,W00009452,110,31.7,36,10.4,146,42.1
W00009453,W00009453,275,79.9,69,20.1,W00009453,W00009453,305,87.4,13,3.7,318,91.1,W00009453,W00009453,273,79.4,71,20.6,W00009453,W00009453,142,40.1,19,5.4,161,45.5
W00009454,W00009454,380,92.0,33,8.0,W00009454,W00009454,326,78.7,16,3.9,342,82.6,W00009454,W00009454,383,93.0,29,7.0,W00009454,W00009454,93,22.4,13,3.1,106,25.5
W00009455,W00009455,166,91.2,16,8.8,W00009455,W00009455,118,63.1,36,19.3,154,82.4,W00009455,W00009455,162,89.5,19,10.5,W00009455,W00009455,79,42.5,11,5.9,90,48.4
W00009456,W00009456,324,88.3,43,11.7,W00009456,W00009456,306,80.5,30,7.9,336,88.4,W00009456,W00009456,324,88.3,43,11.7,W00009456,W00009456,101,26.7,36,9.5,137,36.2
W00009457,W00009457,265,81.5,60,18.5,W00009457,W00009457,264,79.3,26,7.8,290,87.1,W00009457,W00009457,273,84.0,52,16.0,W00009457,W00009457,106,31.6,20,6.0,126,37.6
W00009458,W00009458,249,83.0,51,17.0,W00009458,W00009458,271,88.0,16,5.2,287,93.2,W00009458,W00009458,244,81.3,56,18.7,W00009458,W00009458,117,37.7,22,7.1,139,44.8
W00009459,W00009459,213,87.3,31,12.7,W00009459,W00009459,184,74.5,15,6.1,199,80.6,W00009459,W00009459,214,87.7,30,12.3,W00009459,W00009459,75,30.0,18,7.2,93,37.2
W00009460,W00009460,325,87.1,48,12.9,W00009460,W00009460,321,84.7,34,9.0,355,93.7,W00009460,W00009460,330,88.2,44,11.8,W00009460,W00009460,134,35.4,32,8.4,166,43.8
W00009461,W00009461,234,83.3,47,16.7,W00009461,W00009461,248,86.1,7,2.4,255,88.5,W00009461,W00009461,239,85.1,42,14.9,W00009461,W00009461,84,29.3,13,4.5,97,33.8
W00009462,W00009462,291,82.4,62,17.6,W00009462,W00009462,269,74.3,25,6.9,294,81.2,W00009462,W00009462,303,85.8,50,14.2,W00009462,W00009462,98,27.4,34,9.5,132,36.9
W00009463,W00009463,286,85.1,50,14.9,W00009463,W00009463,293,85.4,12,3.5,305,88.9,W00009463,W00009463,284,84.3,53,15.7,W00009463,W00009463,94,27.2,20,5.8,114,33.0
W00009464,W00009464,235,85.8,39,14.2,W00009464,W00009464,204,72.9,18,6.4,222,79.3,W00009464,W00009464,239,87.2,35,12.8,W00009464,W00009464,98,34.9,23,8.2,121,43.1
W00009465,W00009465,376,87.6,53,12.4,W00009465,W00009465,368,85.8,22,5.1,390,90.9,W00009465,W00009465,373,87.1,55,12.9,W00009465,W00009465,112,26.0,33,7.7,145,33.7
W00009466,W00009466,286,86.4,45,13.6,W00009466,W00009466,262,78.4,16,4.8,278,83.2,W00009466,W00009466,289,87.3,42,12.7,W00009466,W00009466,98,29.3,31,9.3,129,38.6
W00009467,W00009467,278,88.0,38,12.0,W00009467,W00009467,284,88.2,13,4.0,297,92.2,W00009467,W00009467,268,84.8,48,15.2,W00009467,W00009467,127,39.6,24,7.5,151,47.1
W00009468,W00009468,413,86.6,64,13.4,W00009468,W00009468,375,76.8,34,7.0,409,83.8,W00009468,W00009468,423,88.3,56,11.7,W00009468,W00009468,170,34.8,17,3.5,187,38.3
W00009469,W00009469,200,87.7,28,12.3,W00009469,W00009469,184,77.0,8,3.3,192,80.3,W00009469,W00009469,200,87.7,28,12.3,W00009469,W00009469,82,34.3,14,5.9,96,40.2
W00009470,W00009470,206,83.7,40,16.3,W00009470,W00009470,200,78.7,22,8.7,222,87.4,W00009470,W00009470,210,85.4,36,14.6,W00009470,W00009470,90,35.6,34,13.4,124,49.0
W00009472,W00009472,202,84.5,37,15.5,W00009472,W00009472,163,66.5,22,9.0,185,75.5,W00009472,W00009472,207,87.0,31,13.0,W00009472,W00009472,61,25.2,11,4.5,72,29.7
W00009473,W00009473,246,84.5,45,15.5,W00009473,W00009473,238,78.0,24,7.9,262,85.9,W00009473,W00009473,254,87.3,37,12.7,W00009473,W00009473,114,37.9,27,9.0,141,46.9
W00009474,W00009474,249,74.8,84,25.2,W00009474,W00009474,307,89.2,17,4.9,324,94.1,W00009474,W00009474,260,78.3,72,21.7,W00009474,W00009474,141,41.5,43,12.6,184,54.1
W00009475,W00009475,237,90.1,26,9.9,W00009475,W00009475,172,63.9,33,12.3,205,76.2,W00009475,W00009475,235,89.4,28,10.6,W00009475,W00009475,61,23.0,4,1.5,65,24.5
W00009476,W00009476,568,90.9,57,9.1,W00009476,W00009476,415,66.4,45,7.2,460,73.6,W00009476,W00009476,569,91.5,53,8.5,W00009476,W00009476,109,17.4,37,5.9,146,23.3
W00009480,W00009480,194,91.9,17,8.1,W00009480,W00009480,172,80.8,31,14.6,203,95.4,W00009480,W00009480,192,91.9,17,8.1,W00009480,W00009480,137,64.6,21,9.9,158,74.5
W00009481,W00009481,334,89.3,40,10.7,W00009481,W00009481,344,89.6,36,9.4,380,99.0,W00009481,W00009481,343,91.7,31,8.3,W00009481,W00009481,205,53.8,50,13.1,255,66.9
W00009482,W00009482,286,91.7,26,8.3,W00009482,W00009482,274,86.2,35,11.0,309,97.2,W00009482,W00009482,291,93.3,21,6.7,W00009482,W00009482,140,44.0,51,16.0,191,60.0
W00009483,W00009483,166,87.4,24,12.6,W00009483,W00009483,164,85.9,22,11.5,186,97.4,W00009483,W00009483,172,91.0,17,9.0,W00009483,W00009483,112,58.0,13,6.7,125,64.7
W00009484,W00009484,234,95.9,10,4.1,W00009484,W00009484,139,54.5,104,40.8,243,95.3,W00009484,W00009484,236,97.1,7,2.9,W00009484,W00009484,150,58.6,12,4.7,162,63.3
W00009486,W00009486,296,85.3,51,14.7,W00009486,W00009486,321,90.4,20,5.6,341,96.0,W00009486,W00009486,297,86.1,48,13.9,W00009486,W00009486,166,46.5,50,14.0,216,60.5
W00009487,W00009487,234,87.3,34,12.7,W00009487,W00009487,228,81.7,34,12.2,262,93.9,W00009487,W00009487,237,87.5,34,12.5,W00009487,W00009487,136,48.7,39,14.0,175,62.7
W00009488,W00009488,295,90.8,30,9.2,W00009488,W00009488,299,88.5,22,6.5,321,95.0,W00009488,W00009488,295,90.8,30,9.2,W00009488,W00009488,173,51.2,46,13.6,219,64.8
W00009489,W00009489,233,86.3,37,13.7,W00009489,W00009489,254,88.8,15,5.2,269,94.0,W00009489,W00009489,244,90.4,26,9.6,W00009489,W00009489,133,46.7,26,9.1,159,55.8
W00009490,W00009490,396,86.7,61,13.3,W00009490,W00009490,404,86.5,48,10.3,452,96.8,W00009490,W00009490,415,90.8,42,9.2,W00009490,W00009490,235,50.2,50,10.7,285,60.9
W00009491,W00009491,393,84.3,73,15.7,W00009491,W00009491,400,80.8,52,10.5,452,91.3,W00009491,W00009491,418,89.7,48,10.3,W00009491,W00009491,248,50.1,40,8.1,288,58.2
W00009492,W00009492,171,86.4,27,13.6,W00009492,W00009492,182,90.5,12,6.0,194,96.5,W00009492,W00009492,180,90.0,20,10.0,W00009492,W00009492,128,64.0,4,2.0,132,66.0
W00009493,W00009493,251,83.1,51,16.9,W00009493,W00009493,253,79.1,26,8.1,279,87.2,W00009493,W00009493,270,89.4,32,10.6,W00009493,W00009493,148,46.5,30,9.4,178,55.9
W00009494,W00009494,387,87.4,56,12.6,W00009494,W00009494,388,85.3,36,7.9,424,93.2,W00009494,W00009494,396,89.4,47,10.6,W00009494,W00009494,253,55.6,35,7.7,288,63.3
W00009495,W00009495,246,84.5,45,15.5,W00009495,W00009495,247,82.3,16,5.3,263,87.6,W00009495,W00009495,251,86.3,40,13.7,W00009495,W00009495,139,46.6,29,9.7,168,56.3
W00009496,W00009496,264,87.4,38,12.6,W00009496,W00009496,266,83.9,25,7.9,291,91.8,W00009496,W00009496,277,91.4,26,8.6,W00009496,W00009496,168,52.3,29,9.0,197,61.3
W00009497,W00009497,346,86.3,55,13.7,W00009497,W00009497,356,86.4,28,6.8,384,93.2,W00009497,W00009497,359,89.5,42,10.5,W00009497,W00009497,192,46.8,45,11.0,237,57.8
W00009499,W00009499,228,89.1,28,10.9,W00009499,W00009499,220,82.7,28,10.5,248,93.2,W00009499,W00009499,232,90.6,24,9.4,W00009499,W00009499,153,58.4,26,9.9,179,68.3
W00009500,W00009500,260,90.6,27,9.4,W00009500,W00009500,255,85.9,18,6.1,273,92.0,W00009500,W00009500,257,89.5,30,10.5,W00009500,W00009500,139,46.6,40,13.4,179,60.0
W00009501,W00009501,317,86.4,50,13.6,W00009501,W00009501,319,82.4,25,6.5,344,88.9,W00009501,W00009501,322,88.2,43,11.8,W00009501,W00009501,166,43.3,40,10.4,206,53.7
W00009502,W00009502,303,84.2,57,15.8,W00009502,W00009502,328,86.3,27,7.1,355,93.4,W00009502,W00009502,308,85.6,52,14.4,W00009502,W00009502,178,46.7,30,7.9,208,54.6
W00009503,W00009503,451,81.3,104,18.7,W00009503,W00009503,523,93.6,22,3.9,545,97.5,W00009503,W00009503,468,84.3,87,15.7,W00009503,W00009503,272,48.3,54,9.6,326,57.9
W00009505,W00009505,179,78.5,49,21.5,W00009505,W00009505,197,85.7,19,8.3,216,94.0,W00009505,W00009505,183,80.3,45,19.7,W00009505,W00009505,94,41.0,25,10.9,119,51.9
W00009506,W00009506,248,85.8,41,14.2,W00009506,W00009506,272,91.6,21,7.1,293,98.7,W00009506,W00009506,256,89.2,31,10.8,W00009506,W00009506,147,49.5,26,8.8,173,58.3
W00009507,W00009507,267,84.2,50,15.8,W00009507,W00009507,290,91.2,14,4.4,304,95.6,W00009507,W00009507,273,87.5,39,12.5,W00009507,W00009507,148,46.7,33,10.4,181,57.1
W00009508,W00009508,264,83.8,51,16.2,W00009508,W00009508,273,85.3,29,9.1,302,94.4,W00009508,W00009508,280,88.9,35,11.1,W00009508,W00009508,160,50.2,37,11.6,197,61.8
W00009509,W00009509,243,81.0,57,19.0,W00009509,W00009509,268,87.9,33,10.8,301,98.7,W00009509,W00009509,247,82.1,54,17.9,W00009509,W00009509,178,58.2,36,11.8,214,70.0
W00009510,W00009510,260,84.1,49,15.9,W00009510,W00009510,299,93.7,17,5.3,316,99.0,W00009510,W00009510,279,89.7,32,10.3,W00009510,W00009510,143,44.5,29,9.0,172,53.5
W00009511,W00009511,271,78.1,76,21.9,W00009511,W00009511,323,91.8,21,6.0,344,97.8,W00009511,W00009511,283,81.3,65,18.7,W00009511,W00009511,151,43.1,35,10.0,186,53.1
W00009512,W00009512,292,79.1,77,20.9,W00009512,W00009512,332,88.3,39,10.4,371,98.7,W00009512,W00009512,305,82.7,64,17.3,W00009512,W00009512,175,46.7,36,9.6,211,56.3
W00009514,W00009514,244,82.2,53,17.8,W00009514,W00009514,281,92.1,19,6.2,300,98.3,W00009514,W00009514,251,84.5,46,15.5,W00009514,W00009514,163,54.2,29,9.6,192,63.8
W00009515,W00009515,246,82.8,51,17.2,W00009515,W00009515,253,82.4,44,14.3,297,96.7,W00009515,W00009515,244,82.2,53,17.8,W00009515,W00009515,171,55.9,20,6.5,191,62.4
W00009516,W00009516,350,75.6,113,24.4,W00009516,W00009516,454,95.8,14,3.0,468,98.8,W00009516,W00009516,375,81.0,88,19.0,W00009516,W00009516,237,50.2,46,9.7,283,59.9
W00009517,W00009517,215,78.2,60,21.8,W00009517,W00009517,248,88.3,29,10.3,277,98.6,W00009517,W00009517,220,80.0,55,20.0,W00009517,W00009517,174,61.5,40,14.1,214,75.6
W00009518,W00009518,230,84.2,43,15.8,W00009518,W00009518,244,84.7,35,12.2,279,96.9,W00009518,W00009518,234,85.7,39,14.3,W00009518,W00009518,145,50.3,23,8.0,168,58.3
W00009519,W00009519,190,84.8,34,15.2,W00009519,W00009519,198,87.2,19,8.4,217,95.6,W00009519,W00009519,201,89.7,23,10.3,W00009519,W00009519,122,53.3,29,12.7,151,66.0
W00009520,W00009520,231,79.9,58,20.1,W00009520,W00009520,277,92.0,19,6.3,296,98.3,W00009520,W00009520,254,87.9,35,12.1,W00009520,W00009520,170,56.5,46,15.3,216,71.8
W00009521,W00009521,260,88.1,35,11.9,W00009521,W00009521,265,86.6,33,10.8,298,97.4,W00009521,W00009521,264,89.2,32,10.8,W00009521,W00009521,178,57.8,31,10.1,209,67.9
W00009522,W00009522,232,85.3,40,14.7,W00009522,W00009522,257,92.4,17,6.1,274,98.5,W00009522,W00009522,238,87.5,34,12.5,W00009522,W00009522,156,56.3,48,17.3,204,73.6
W00009524,W00009524,232,88.2,31,11.8,W00009524,W00009524,246,91.8,19,7.1,265,98.9,W00009524,W00009524,232,87.9,32,12.1,W00009524,W00009524,138,51.7,33,12.4,171,64.1
W00009525,W00009525,243,80.2,60,19.8,W00009525,W00009525,275,89.0,30,9.7,305,98.7,W00009525,W00009525,255,84.2,48,15.8,W00009525,W00009525,171,55.7,35,11.4,206,67.1
