2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00009117,W00009117,410,91.3,39,8.7
W00009118,W00009118,231,93.1,17,6.9
W00009119,W00009119,308,87.5,44,12.5
W00009120,W00009120,327,87.4,47,12.6
W00009121,W00009121,287,97.3,8,2.7
W00009123,W00009123,419,84.5,77,15.5
W00009125,W00009125,288,84,55,16
W00009126,W00009126,310,88.1,42,11.9
W00009127,W00009127,286,85.6,48,14.4
W00009128,W00009128,294,87.2,43,12.8
W00009129,W00009129,408,91.9,36,8.1
W00009130,W00009130,223,84.5,41,15.5
W00009131,W00009131,274,83.5,54,16.5
W00009132,W00009132,276,92.3,23,7.7
W00009133,W00009133,280,94.3,17,5.7
W00009134,W00009134,191,78.6,52,21.4
W00009135,W00009135,350,92.8,27,7.2
W00009136,W00009136,264,85.2,46,14.8
W00009137,W00009137,181,79.7,46,20.3
W00009138,W00009138,257,84.8,46,15.2
W00009139,W00009139,256,90.8,26,9.2
W00009140,W00009140,322,83.2,65,16.8
W00009141,W00009141,409,89.3,49,10.7
W00009142,W00009142,182,88.3,24,11.7
W00009143,W00009143,229,80.6,55,19.4
W00009144,W00009144,231,87.2,34,12.8
W00009145,W00009145,247,85.8,41,14.2
W00009146,W00009146,250,78.9,67,21.1
W00009147,W00009147,242,86.7,37,13.3
W00009148,W00009148,103,88.8,13,11.2
W00009149,W00009149,300,82.9,62,17.1
W00009150,W00009150,296,87.1,44,12.9
W00009151,W00009151,283,89.3,34,10.7
W00009152,W00009152,286,84.6,52,15.4
W00009153,W00009153,268,90.2,29,9.8
W00009154,W00009154,329,82.7,69,17.3
W00009155,W00009155,160,87.9,22,12.1
W00009156,W00009156,220,86.6,34,13.4
W00009157,W00009157,407,85.1,71,14.9
W00009159,W00009159,388,90.9,39,9.1
W00009160,W00009160,278,83.7,54,16.3
W00009161,W00009161,341,86.8,52,13.2
W00009162,W00009162,212,79.4,55,20.6
W00009163,W00009163,238,75.3,78,24.7
W00009164,W00009164,260,81.2,60,18.8
W00009165,W00009165,223,85.1,39,14.9
W00009166,W00009166,255,84.7,46,15.3
W00009168,W00009168,202,86.7,31,13.3
W00009169,W00009169,280,81.9,62,18.1
W00009170,W00009170,245,81.7,55,18.3
W00009171,W00009171,462,90.9,46,9.1
W00009172,W00009172,258,86,42,14
W00009173,W00009173,209,85.3,36,14.7
W00009174,W00009174,275,83.3,55,16.7
W00009175,W00009175,268,82.2,58,17.8
W00009176,W00009176,307,87,46,13
W00009177,W00009177,276,86.8,42,13.2
W00009178,W00009178,204,84,39,16
W00009179,W00009179,280,87.8,39,12.2
W00009180,W00009180,285,85.1,50,14.9
W00009181,W00009181,457,88.6,59,11.4
W00009182,W00009182,264,86.6,41,13.4
W00009183,W00009183,348,84.7,63,15.3
W00009184,W00009184,258,86.3,41,13.7
W00009186,W00009186,184,68.4,85,31.6
W00009187,W00009187,212,80.6,51,19.4
W00009188,W00009188,263,83.8,51,16.2
W00009189,W00009189,256,91.4,24,8.6
W00009190,W00009190,271,89.4,32,10.6
W00009191,W00009191,396,87.2,58,12.8
W00009192,W00009192,189,84.8,34,15.2
W00009193,W00009193,165,79.7,42,20.3
W00009194,W00009194,298,84.9,53,15.1
W00009195,W00009195,289,87.3,42,12.7
W00009196,W00009196,220,80.3,54,19.7
W00009197,W00009197,223,76.9,67,23.1
W00009198,W00009198,270,64.3,150,35.7
W00009199,W00009199,222,75.8,71,24.2
W00009200,W00009200,228,77.3,67,22.7
W00009201,W00009201,229,80.4,56,19.6
W00009202,W00009202,203,80.9,48,19.1
W00009203,W00009203,165,76,52,24
W00009204,W00009204,200,82.6,42,17.4
W00009205,W00009205,262,82.9,54,17.1
W00009206,W00009206,254,88.5,33,11.5
W00009207,W00009207,193,88.5,25,11.5
W00009208,W00009208,274,86.7,42,13.3
W00009209,W00009209,218,88.6,28,11.4
W00009210,W00009210,201,89.7,23,10.3
W00009211,W00009211,226,88.3,30,11.7
W00009212,W00009212,198,83.2,40,16.8
W00009213,W00009213,175,61.4,110,38.6
W00009214,W00009214,223,89.2,27,10.8
W00009215,W00009215,258,91.8,23,8.2
W00009216,W00009216,286,85.1,50,14.9
W00009217,W00009217,236,90.4,25,9.6
W00009218,W00009218,255,85.6,43,14.4
W00009219,W00009219,196,76.9,59,23.1
W00009220,W00009220,282,88.4,37,11.6
W00009221,W00009221,296,87.1,44,12.9
W00009222,W00009222,252,95.5,12,4.5
W00009223,W00009223,289,88.7,37,11.3
W00009224,W00009224,265,89.8,30,10.2
W00009225,W00009225,242,80.7,58,19.3
W00009226,W00009226,283,88.2,38,11.8
W00009227,W00009227,206,80.5,50,19.5
W00009228,W00009228,212,83.5,42,16.5
W00009229,W00009229,254,72.2,98,27.8
W00009230,W00009230,313,92.1,27,7.9
W00009231,W00009231,228,93.1,17,6.9
W00009232,W00009232,293,88.3,39,11.7
W00009233,W00009233,287,87.8,40,12.2
W00009234,W00009234,195,83,40,17
W00009235,W00009235,261,82.6,55,17.4
W00009236,W00009236,316,89.3,38,10.7
W00009237,W00009237,373,88.8,47,11.2
W00009238,W00009238,232,82,51,18
W00009239,W00009239,282,90.4,30,9.6
W00009240,W00009240,251,86.9,38,13.1
W00009241,W00009241,288,90.9,29,9.1
W00009242,W00009242,288,86.7,44,13.3
W00009243,W00009243,282,86.8,43,13.2
W00009244,W00009244,212,82.5,45,17.5
W00009245,W00009245,375,83,77,17
W00009246,W00009246,284,84.3,53,15.7
W00009247,W00009247,258,86.3,41,13.7
W00009248,W00009248,246,87.5,35,12.5
W00009249,W00009249,249,83.8,48,16.2
W00009250,W00009250,243,88.7,31,11.3
W00009251,W00009251,308,82.8,64,17.2
W00009252,W00009252,340,84.4,63,15.6
W00009253,W00009253,258,86.9,39,13.1
W00009254,W00009254,290,86.8,44,13.2
W00009255,W00009255,237,85.9,39,14.1
W00009256,W00009256,310,85.6,52,14.4
W00009258,W00009258,310,87.3,45,12.7
W00009259,W00009259,237,92.2,20,7.8
W00009260,W00009260,279,92.4,23,7.6
W00009261,W00009261,289,86.8,44,13.2
W00009262,W00009262,235,85.8,39,14.2
W00009263,W00009263,335,87,50,13
W00009264,W00009264,257,88.9,32,11.1
W00009265,W00009265,229,87.1,34,12.9
W00009266,W00009266,199,80.9,47,19.1
W00009267,W00009267,195,86.3,31,13.7
W00009268,W00009268,199,88.4,26,11.6
W00009269,W00009269,234,90,26,10
W00009270,W00009270,242,92.7,19,7.3
W00009271,W00009271,191,88,26,12
W00009272,W00009272,240,87.6,34,12.4
W00009273,W00009273,195,86.7,30,13.3
W00009274,W00009274,242,90.6,25,9.4
W00009275,W00009275,203,87.1,30,12.9
