2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00009319,W00009319,225,70.3,81,25.3,306,95.6
W00009320,W00009320,243,73.6,58,17.6,301,91.2
W00009321,W00009321,222,73.8,65,21.6,287,95.4
W00009322,W00009322,284,72.8,77,19.7,361,92.5
W00009323,W00009323,237,67.9,86,24.6,323,92.5
W00009324,W00009324,191,62,59,19.2,250,81.2
W00009325,W00009325,255,66.6,94,24.5,349,91.1
W00009326,W00009326,202,64.7,85,27.2,287,91.9
W00009327,W00009327,190,66.9,65,22.9,255,89.8
W00009328,W00009328,297,90,27,8.2,324,98.2
W00009329,W00009329,272,80,64,18.8,336,98.8
W00009330,W00009330,315,67.9,101,21.8,416,89.7
W00009331,W00009331,307,83,52,14.1,359,97.1
W00009332,W00009332,245,74.2,75,22.7,320,96.9
W00009333,W00009333,293,82.3,42,11.8,335,94.1
W00009334,W00009334,212,73.6,51,17.7,263,91.3
W00009335,W00009335,283,81.8,34,9.8,317,91.6
W00009336,W00009336,236,80.8,27,9.2,263,90
W00009337,W00009337,391,77,56,11,447,88
W00009338,W00009338,251,74,59,17.4,310,91.4
W00009339,W00009339,266,68.9,70,18.1,336,87
W00009340,W00009340,310,74.2,67,16,377,90.2
W00009341,W00009341,246,75,47,14.3,293,89.3
W00009342,W00009342,293,70.8,100,24.2,393,95
W00009343,W00009343,224,77.2,46,15.9,270,93.1
W00009344,W00009344,291,74.8,79,20.3,370,95.1
W00009345,W00009345,298,75.6,76,19.3,374,94.9
W00009346,W00009346,227,65,100,28.7,327,93.7
W00009347,W00009347,191,74,44,17.1,235,91.1
W00009348,W00009348,267,86.1,39,12.6,306,98.7
W00009349,W00009349,224,81.5,40,14.5,264,96
W00009350,W00009350,187,78.6,34,14.3,221,92.9
W00009351,W00009351,249,71.6,80,23,329,94.6
W00009352,W00009352,244,70.9,67,19.5,311,90.4
W00009353,W00009353,256,74.2,57,16.5,313,90.7
W00009354,W00009354,285,73.1,71,18.2,356,91.3
W00009355,W00009355,216,83.1,35,13.5,251,96.6
W00009356,W00009356,317,80.7,62,15.8,379,96.5
W00009357,W00009357,236,74,65,20.4,301,94.4
W00009358,W00009358,319,70.1,94,20.7,413,90.8
W00009359,W00009359,179,68.1,63,24,242,92.1
W00009360,W00009360,253,77.8,53,16.3,306,94.1
W00009361,W00009361,340,81.3,57,13.6,397,94.9
W00009362,W00009362,239,79.1,50,16.6,289,95.7
W00009363,W00009363,151,77.4,22,11.3,173,88.7
W00009364,W00009364,269,83.3,36,11.1,305,94.4
W00009365,W00009365,200,78.4,42,16.5,242,94.9
W00009366,W00009366,322,88.7,39,10.7,361,99.4
W00009367,W00009367,234,76.2,46,15,280,91.2
W00009368,W00009368,270,86.8,17,5.5,287,92.3
W00009369,W00009369,334,82.5,46,11.4,380,93.9
W00009371,W00009371,296,86.5,33,9.6,329,96.1
W00009372,W00009372,292,84.1,40,11.5,332,95.6
W00009373,W00009373,273,87.5,26,8.3,299,95.8
W00009374,W00009374,269,85.4,35,11.1,304,96.5
W00009375,W00009375,365,88.2,38,9.2,403,97.4
W00009376,W00009376,322,81.1,56,14.1,378,95.2
W00009377,W00009377,264,94.3,14,5,278,99.3
W00009378,W00009378,316,86.8,44,12.1,360,98.9
W00009379,W00009379,211,82.1,38,14.8,249,96.9
W00009380,W00009380,235,92.9,13,5.1,248,98
W00009381,W00009381,257,85.4,36,12,293,97.4
W00009382,W00009382,265,93.3,18,6.3,283,99.6
W00009383,W00009383,253,89.4,24,8.5,277,97.9
W00009384,W00009384,323,91.8,23,6.5,346,98.3
W00009385,W00009385,347,91.1,22,5.8,369,96.9
W00009386,W00009386,347,82.6,34,8.1,381,90.7
W00009387,W00009387,230,75.9,36,11.9,266,87.8
W00009389,W00009389,329,89.2,24,6.5,353,95.7
W00009390,W00009390,328,93.4,15,4.3,343,97.7
W00009391,W00009391,362,81.7,48,10.8,410,92.5
W00009392,W00009392,255,81,34,10.8,289,91.8
W00009393,W00009393,218,88.3,22,8.9,240,97.2
W00009394,W00009394,310,90.6,12,3.5,322,94.1
W00009395,W00009395,253,87.8,20,6.9,273,94.7
W00009396,W00009396,282,88.1,15,4.7,297,92.8
W00009397,W00009397,312,86.4,25,6.9,337,93.3
W00009398,W00009398,194,70.3,22,8,216,78.3
W00009399,W00009399,279,89.4,17,5.4,296,94.8
W00009400,W00009400,294,81.7,44,12.2,338,93.9
W00009401,W00009401,291,91.2,15,4.7,306,95.9
W00009402,W00009402,263,85.7,25,8.1,288,93.8
W00009403,W00009403,289,85.5,25,7.4,314,92.9
W00009404,W00009404,216,79.1,33,12.1,249,91.2
W00009405,W00009405,185,70.6,29,11.1,214,81.7
W00009407,W00009407,300,92,22,6.7,322,98.7
W00009408,W00009408,154,60.4,48,18.8,202,79.2
W00009409,W00009409,262,85.6,24,7.8,286,93.4
W00009410,W00009410,337,94.7,11,3.1,348,97.8
W00009411,W00009411,355,89.2,23,5.8,378,95
W00009412,W00009412,246,77.4,40,12.6,286,90
W00009413,W00009413,254,87.9,13,4.5,267,92.4
W00009414,W00009414,242,88.3,18,6.6,260,94.9
W00009415,W00009415,297,85.8,28,8.1,325,93.9
W00009416,W00009416,306,86.9,21,6,327,92.9
W00009417,W00009417,245,86.3,28,9.9,273,96.2
W00009418,W00009418,238,87.5,15,5.5,253,93
W00009419,W00009419,266,92.7,13,4.5,279,97.2
W00009420,W00009420,314,91.8,22,6.4,336,98.2
W00009421,W00009421,238,84.1,39,13.8,277,97.9
W00009422,W00009422,288,87.3,26,7.9,314,95.2
W00009423,W00009423,254,67.7,49,13.1,303,80.8
W00009424,W00009424,273,72.2,23,6.1,296,78.3
W00009425,W00009425,260,76.5,36,10.6,296,87.1
W00009426,W00009426,236,79.2,23,7.7,259,86.9
W00009427,W00009427,259,85.2,30,9.9,289,95.1
W00009428,W00009428,312,79.8,27,6.9,339,86.7
W00009429,W00009429,197,70.1,20,7.1,217,77.2
W00009430,W00009430,198,81.1,8,3.3,206,84.4
W00009431,W00009431,169,67.3,20,8,189,75.3
W00009432,W00009432,187,70.6,24,9.1,211,79.7
W00009433,W00009433,295,66,62,13.9,357,79.9
W00009434,W00009434,246,60.9,34,8.4,280,69.3
W00009435,W00009435,122,63.5,40,20.8,162,84.3
W00009436,W00009436,260,81,36,11.2,296,92.2
W00009437,W00009437,254,70.9,32,8.9,286,79.8
W00009438,W00009438,190,79.8,22,9.2,212,89
W00009439,W00009439,227,76.9,31,10.5,258,87.4
W00009440,W00009440,216,71.5,41,13.6,257,85.1
W00009441,W00009441,260,61,50,11.7,310,72.7
W00009442,W00009442,160,77.3,21,10.1,181,87.4
W00009443,W00009443,231,72.6,22,6.9,253,79.5
W00009444,W00009444,225,74,30,9.9,255,83.9
W00009445,W00009445,181,69.1,42,16,223,85.1
W00009446,W00009446,244,63.7,15,3.9,259,67.6
W00009447,W00009447,165,68.5,46,19.1,211,87.6
W00009448,W00009448,184,59.7,64,20.8,248,80.5
W00009450,W00009450,245,63.1,83,21.4,328,84.5
W00009451,W00009451,318,83,19,5,337,88
W00009452,W00009452,233,67.3,34,9.8,267,77.1
W00009453,W00009453,305,87.4,13,3.7,318,91.1
W00009454,W00009454,326,78.7,16,3.9,342,82.6
W00009455,W00009455,118,63.1,36,19.3,154,82.4
W00009456,W00009456,306,80.5,30,7.9,336,88.4
W00009457,W00009457,264,79.3,26,7.8,290,87.1
W00009458,W00009458,271,88,16,5.2,287,93.2
W00009459,W00009459,184,74.5,15,6.1,199,80.6
W00009460,W00009460,321,84.7,34,9,355,93.7
W00009461,W00009461,248,86.1,7,2.4,255,88.5
W00009462,W00009462,269,74.3,25,6.9,294,81.2
W00009463,W00009463,293,85.4,12,3.5,305,88.9
W00009464,W00009464,204,72.9,18,6.4,222,79.3
W00009465,W00009465,368,85.8,22,5.1,390,90.9
W00009466,W00009466,262,78.4,16,4.8,278,83.2
W00009467,W00009467,284,88.2,13,4,297,92.2
W00009468,W00009468,375,76.8,34,7,409,83.8
W00009469,W00009469,184,77,8,3.3,192,80.3
W00009470,W00009470,200,78.7,22,8.7,222,87.4
W00009472,W00009472,163,66.5,22,9,185,75.5
W00009473,W00009473,238,78,24,7.9,262,85.9
W00009474,W00009474,307,89.2,17,4.9,324,94.1
W00009475,W00009475,172,63.9,33,12.3,205,76.2
W00009476,W00009476,415,66.4,45,7.2,460,73.6
W00009480,W00009480,172,80.8,31,14.6,203,95.4
W00009481,W00009481,344,89.6,36,9.4,380,99
W00009482,W00009482,274,86.2,35,11,309,97.2
W00009483,W00009483,164,85.9,22,11.5,186,97.4
W00009484,W00009484,139,54.5,104,40.8,243,95.3
W00009486,W00009486,321,90.4,20,5.6,341,96
W00009487,W00009487,228,81.7,34,12.2,262,93.9
W00009488,W00009488,299,88.5,22,6.5,321,95
W00009489,W00009489,254,88.8,15,5.2,269,94
W00009490,W00009490,404,86.5,48,10.3,452,96.8
W00009491,W00009491,400,80.8,52,10.5,452,91.3
W00009492,W00009492,182,90.5,12,6,194,96.5
W00009493,W00009493,253,79.1,26,8.1,279,87.2
W00009494,W00009494,388,85.3,36,7.9,424,93.2
W00009495,W00009495,247,82.3,16,5.3,263,87.6
W00009496,W00009496,266,83.9,25,7.9,291,91.8
W00009497,W00009497,356,86.4,28,6.8,384,93.2
W00009499,W00009499,220,82.7,28,10.5,248,93.2
W00009500,W00009500,255,85.9,18,6.1,273,92
W00009501,W00009501,319,82.4,25,6.5,344,88.9
W00009502,W00009502,328,86.3,27,7.1,355,93.4
W00009503,W00009503,523,93.6,22,3.9,545,97.5
W00009505,W00009505,197,85.7,19,8.3,216,94
W00009506,W00009506,272,91.6,21,7.1,293,98.7
W00009507,W00009507,290,91.2,14,4.4,304,95.6
W00009508,W00009508,273,85.3,29,9.1,302,94.4
W00009509,W00009509,268,87.9,33,10.8,301,98.7
W00009510,W00009510,299,93.7,17,5.3,316,99
W00009511,W00009511,323,91.8,21,6,344,97.8
W00009512,W00009512,332,88.3,39,10.4,371,98.7
W00009514,W00009514,281,92.1,19,6.2,300,98.3
W00009515,W00009515,253,82.4,44,14.3,297,96.7
W00009516,W00009516,454,95.8,14,3,468,98.8
W00009517,W00009517,248,88.3,29,10.3,277,98.6
W00009518,W00009518,244,84.7,35,12.2,279,96.9
W00009519,W00009519,198,87.2,19,8.4,217,95.6
W00009520,W00009520,277,92,19,6.3,296,98.3
W00009521,W00009521,265,86.6,33,10.8,298,97.4
W00009522,W00009522,257,92.4,17,6.1,274,98.5
W00009524,W00009524,246,91.8,19,7.1,265,98.9
W00009525,W00009525,275,89,30,9.7,305,98.7
W00009526,W00009526,347,91.6,27,7.1,374,98.7
W00009527,W00009527,288,87.3,14,4.2,302,91.5
W00009528,W00009528,216,84.7,32,12.5,248,97.2
W00009529,W00009529,312,91.8,21,6.2,333,98
W00009530,W00009530,236,92.2,17,6.6,253,98.8
W00009531,W00009531,243,89.7,22,8.1,265,97.8
W00009532,W00009532,276,88.7,25,8,301,96.7
W00009533,W00009533,208,82.9,33,13.1,241,96
W00009534,W00009534,171,88.1,17,8.8,188,96.9
W00009535,W00009535,217,84.1,36,14,253,98.1
W00009536,W00009536,240,90.2,23,8.6,263,98.8
W00009537,W00009537,204,85.7,33,13.9,237,99.6
W00009538,W00009538,178,84.8,18,8.6,196,93.4
W00009539,W00009539,291,90.9,23,7.2,314,98.1
W00009540,W00009540,268,94,14,4.9,282,98.9
W00009541,W00009541,244,88.7,22,8,266,96.7
W00009542,W00009542,233,93.2,16,6.4,249,99.6
W00009543,W00009543,292,89.8,23,7.1,315,96.9
W00009544,W00009544,254,87.9,28,9.7,282,97.6
W00009545,W00009545,272,91,23,7.7,295,98.7
W00009546,W00009546,213,88,23,9.5,236,97.5
W00009547,W00009547,241,88.6,26,9.6,267,98.2
W00009548,W00009548,250,90.3,20,7.2,270,97.5
W00009549,W00009549,300,90.6,20,6,320,96.6
W00009550,W00009550,213,83.2,29,11.3,242,94.5
W00009551,W00009551,219,81.7,43,16,262,97.7
W00009552,W00009552,216,90.8,22,9.2,238,100
W00009553,W00009553,265,92.3,17,5.9,282,98.2
W00009554,W00009554,204,84.6,31,12.9,235,97.5
W00009555,W00009555,225,85.9,27,10.3,252,96.2
W00009556,W00009556,290,90.6,26,8.1,316,98.7
W00009557,W00009557,291,69.8,40,9.6,331,79.4
W00009558,W00009558,246,78.3,22,7,268,85.3
W00009559,W00009559,254,64.6,42,10.7,296,75.3
W00009560,W00009560,274,64.3,68,16,342,80.3
W00009561,W00009561,256,74.6,48,14,304,88.6
W00009562,W00009562,179,56.3,73,23,252,79.3
W00009563,W00009563,215,74.9,23,8,238,82.9
W00009564,W00009564,250,70.8,33,9.3,283,80.1
W00009565,W00009565,308,77.6,15,3.8,323,81.4
W00009566,W00009566,307,72.9,26,6.2,333,79.1
W00009567,W00009567,186,67.4,34,12.3,220,79.7
W00009568,W00009568,254,64.3,54,13.7,308,78
W00009569,W00009569,221,72.2,26,8.5,247,80.7
W00009570,W00009570,281,64.3,35,8,316,72.3
W00009571,W00009571,256,72.3,35,9.9,291,82.2
W00009572,W00009572,248,71.3,31,8.9,279,80.2
W00009573,W00009573,251,68.2,39,10.6,290,78.8
W00009574,W00009574,223,59.8,35,9.4,258,69.2
W00009575,W00009575,54,35.5,31,20.4,85,55.9
W00009576,W00009576,213,75.5,51,18.1,264,93.6
W00009577,W00009577,228,89.4,13,5.1,241,94.5
W00009578,W00009578,242,84.3,15,5.2,257,89.5
W00009579,W00009579,166,82.6,23,11.4,189,94
W00009580,W00009580,248,85.2,8,2.7,256,87.9
W00009581,W00009581,253,87.5,13,4.5,266,92
W00009582,W00009582,244,86.2,23,8.1,267,94.3
W00009583,W00009583,287,88,18,5.5,305,93.5
W00009584,W00009584,254,88.2,17,5.9,271,94.1
W00009585,W00009585,206,83.7,15,6.1,221,89.8
W00009586,W00009586,284,84.8,20,6,304,90.8
W00009587,W00009587,221,88.8,13,5.2,234,94
W00009588,W00009588,215,66.8,42,13,257,79.8
W00009589,W00009589,228,84.4,27,10,255,94.4
W00009590,W00009590,229,89.8,2,0.8,231,90.6
W00009591,W00009591,242,78.6,30,9.7,272,88.3
W00009592,W00009592,251,88.1,10,3.5,261,91.6
W00009593,W00009593,218,85.8,20,7.9,238,93.7
W00009594,W00009594,259,87.8,20,6.8,279,94.6
W00009595,W00009595,309,85.1,20,5.5,329,90.6
W00009596,W00009596,217,79.5,14,5.1,231,84.6
W00009597,W00009597,246,67.8,40,11,286,78.8
W00009598,W00009598,330,73.2,60,13.3,390,86.5
W00009599,W00009599,218,66.3,29,8.8,247,75.1
W00009600,W00009600,216,66.5,102,31.4,318,97.9
W00009601,W00009601,287,88,34,10.4,321,98.4
W00009602,W00009602,262,84.8,29,9.4,291,94.2
W00009603,W00009603,284,87.4,37,11.4,321,98.8
W00009604,W00009604,222,87.1,25,9.8,247,96.9
W00009605,W00009605,279,88,33,10.4,312,98.4
W00009606,W00009606,226,82.8,27,9.9,253,92.7
W00009607,W00009607,271,86.6,30,9.6,301,96.2
W00009608,W00009608,288,88.6,30,9.2,318,97.8
W00009609,W00009609,254,82.2,53,17.2,307,99.4
W00009610,W00009610,322,84.3,49,12.8,371,97.1
W00009611,W00009611,289,90.6,18,5.6,307,96.2
W00009612,W00009612,270,86.5,32,10.3,302,96.8
W00009613,W00009613,255,85.3,30,10,285,95.3
W00009614,W00009614,249,85.3,27,9.2,276,94.5
W00009615,W00009615,281,77.2,64,17.6,345,94.8
W00009616,W00009616,241,66.2,85,23.4,326,89.6
W00009617,W00009617,165,86.8,20,10.5,185,97.3
W00009618,W00009618,251,74.9,58,17.3,309,92.2
W00009619,W00009619,237,67.7,76,21.7,313,89.4
W00009620,W00009620,237,78.7,57,18.9,294,97.6
W00009621,W00009621,208,70.5,63,21.4,271,91.9
W00009622,W00009622,175,63.4,59,21.4,234,84.8
W00009623,W00009623,250,86.8,28,9.7,278,96.5
W00009624,W00009624,369,74.4,88,17.7,457,92.1
W00009625,W00009625,214,76.7,54,19.4,268,96.1
W00009626,W00009626,223,76.4,58,19.9,281,96.3
W00009627,W00009627,248,88.9,26,9.3,274,98.2
W00009629,W00009629,288,77.8,43,11.6,331,89.4
W00009630,W00009630,230,64.2,62,17.3,292,81.5
W00009631,W00009631,205,64.5,98,30.8,303,95.3
W00009632,W00009632,239,76.8,48,15.4,287,92.2
W00009633,W00009633,222,65.9,82,24.3,304,90.2
W00009634,W00009634,246,82.6,28,9.4,274,92
W00009635,W00009635,238,78.3,42,13.8,280,92.1
W00009636,W00009636,237,71.4,60,18.1,297,89.5
W00009637,W00009637,200,72.5,39,14.1,239,86.6
W00009638,W00009638,167,64,71,27.2,238,91.2
W00009639,W00009639,295,69.6,94,22.2,389,91.8
W00009640,W00009640,256,78.5,36,11,292,89.5
W00009641,W00009641,191,74.6,38,14.8,229,89.4
W00009642,W00009642,220,77.5,36,12.7,256,90.2
W00009643,W00009643,199,72.1,52,18.8,251,90.9
W00009644,W00009644,149,67.7,58,26.4,207,94.1
W00009645,W00009645,251,56.8,91,20.6,342,77.4
W00009646,W00009646,243,74.8,61,18.8,304,93.6
W00009647,W00009647,269,70.2,80,20.9,349,91.1
W00009648,W00009648,174,61.5,79,27.9,253,89.4
W00009649,W00009649,249,66.6,90,24.1,339,90.7
W00009650,W00009650,186,78.5,19,8,205,86.5
W00009651,W00009651,267,68.6,57,14.7,324,83.3
W00009652,W00009652,247,67.7,71,19.5,318,87.2
W00009653,W00009653,299,65.9,104,22.9,403,88.8
W00009654,W00009654,210,72.4,56,19.3,266,91.7
W00009655,W00009655,218,72.7,43,14.3,261,87
W00009657,W00009657,140,69,37,18.2,177,87.2
W00009658,W00009658,198,69.2,51,17.8,249,87
W00009659,W00009659,251,74.7,63,18.8,314,93.5
W00009660,W00009660,245,73.8,48,14.5,293,88.3
W00009661,W00009661,192,63.4,90,29.7,282,93.1
W00009662,W00009662,180,57.3,61,19.4,241,76.7
W00009663,W00009663,214,66.5,66,20.5,280,87
W00009664,W00009664,217,72.3,54,18,271,90.3
W00009665,W00009665,227,71.8,72,22.8,299,94.6
W00009666,W00009666,69,48.3,63,44.1,132,92.4
W00009667,W00009667,183,81,27,11.9,210,92.9
W00009668,W00009668,208,76.8,39,14.4,247,91.2
W00009669,W00009669,337,71.9,87,18.6,424,90.5
W00009670,W00009670,331,82.5,61,15.2,392,97.7
W00009671,W00009671,166,57.6,107,37.2,273,94.8
W00009672,W00009672,251,76.1,62,18.8,313,94.9
W00009673,W00009673,247,74.6,51,15.4,298,90
W00009675,W00009675,247,77.4,56,17.6,303,95
W00009676,W00009676,271,69.8,112,28.9,383,98.7
W00009677,W00009677,225,82.7,30,11,255,93.7
W00009678,W00009678,208,88.1,12,5.1,220,93.2
W00009679,W00009679,298,83.2,41,11.5,339,94.7
W00009680,W00009680,271,68.1,93,23.4,364,91.5
W00009681,W00009681,192,60.8,93,29.4,285,90.2
W00009682,W00009682,249,68,98,26.8,347,94.8
W00009683,W00009683,271,88,31,10.1,302,98.1
W00009684,W00009684,208,68.9,48,15.9,256,84.8
W00009686,W00009686,260,82.8,34,10.8,294,93.6
W00009687,W00009687,234,67.4,92,26.5,326,93.9
W00009688,W00009688,254,84.9,30,10,284,94.9
W00009689,W00009689,184,78.6,28,12,212,90.6
W00009690,W00009690,312,69.3,88,19.6,400,88.9
W00009691,W00009691,384,67.5,113,19.9,497,87.4
W00009692,W00009692,299,84,42,11.8,341,95.8
W00009693,W00009693,285,80.5,51,14.4,336,94.9
W00009694,W00009694,179,74.6,49,20.4,228,95
W00009695,W00009695,276,79.5,50,14.4,326,93.9
W00009696,W00009696,247,81.5,39,12.9,286,94.4
W00009697,W00009697,199,65.9,98,32.5,297,98.4
W00009698,W00009698,221,83.4,28,10.6,249,94
W00009699,W00009699,170,70.2,51,21.1,221,91.3
W00009700,W00009700,221,75.2,51,17.3,272,92.5
W00009701,W00009701,153,71.5,51,23.8,204,95.3
W00009702,W00009702,279,73.2,68,17.8,347,91
W00009703,W00009703,149,62.6,69,29,218,91.6
W00009704,W00009704,259,78.2,54,16.3,313,94.5
W00009705,W00009705,230,84.9,24,8.9,254,93.8
W00009706,W00009706,238,73,66,20.2,304,93.2
W00009707,W00009707,203,66.1,84,27.4,287,93.5
W00009708,W00009708,205,61.2,85,25.4,290,86.6
W00009710,W00009710,269,70.1,100,26,369,96.1
W00009711,W00009711,303,89.1,21,6.2,324,95.3
W00009712,W00009712,223,76.9,51,17.6,274,94.5
W00009713,W00009713,294,77.6,79,20.8,373,98.4
W00009714,W00009714,262,80.9,50,15.4,312,96.3
W00009715,W00009715,269,69,100,25.6,369,94.6
W00009716,W00009716,283,89.8,24,7.6,307,97.4
W00009717,W00009717,245,87.2,34,12.1,279,99.3
W00009718,W00009718,324,88.3,31,8.4,355,96.7
W00009719,W00009719,217,65.6,96,29,313,94.6
W00009720,W00009720,235,79.1,44,14.8,279,93.9
W00009721,W00009721,207,79.6,44,16.9,251,96.5
W00009722,W00009722,252,89.7,18,6.4,270,96.1
W00009723,W00009723,261,90.9,25,8.7,286,99.6
W00009724,W00009724,300,88.8,17,5,317,93.8
W00009725,W00009725,290,90.6,21,6.6,311,97.2
W00009726,W00009726,286,86.1,30,9,316,95.1
W00009727,W00009727,273,91.9,21,7.1,294,99
W00009728,W00009728,278,87.7,37,11.7,315,99.4
W00009729,W00009729,259,89.9,20,6.9,279,96.8
W00009730,W00009730,209,89.3,16,6.8,225,96.1
W00009731,W00009731,224,86.5,28,10.8,252,97.3
W00009732,W00009732,177,81.6,26,12,203,93.6
W00009733,W00009733,269,92.1,20,6.8,289,98.9
W00009734,W00009734,185,79.1,40,17.1,225,96.2
W00009735,W00009735,487,91,30,5.6,517,96.6
W00009736,W00009736,272,91,11,3.7,283,94.7
W00009737,W00009737,248,89.2,19,6.8,267,96
W00009738,W00009738,248,89.2,23,8.3,271,97.5
W00009739,W00009739,299,90.1,24,7.2,323,97.3
W00009740,W00009740,345,75.3,81,17.7,426,93
W00009741,W00009741,311,92,23,6.8,334,98.8
W00009742,W00009742,229,84.2,32,11.8,261,96
W00009743,W00009743,267,87.5,28,9.2,295,96.7
W00009744,W00009744,153,64.3,60,25.2,213,89.5
W00009745,W00009745,237,86.2,30,10.9,267,97.1
W00009746,W00009746,271,88.3,32,10.4,303,98.7
W00009747,W00009747,212,79.1,48,17.9,260,97
W00009748,W00009748,161,75.9,33,15.6,194,91.5
W00009749,W00009749,334,92.8,21,5.8,355,98.6
W00009750,W00009750,235,84.8,35,12.6,270,97.4
W00009751,W00009751,398,91.1,24,5.5,422,96.6
W00009752,W00009752,102,79.1,24,18.6,126,97.7
W00009753,W00009753,178,89.4,14,7,192,96.4
W00009754,W00009754,132,72.5,37,20.3,169,92.8
W00009755,W00009755,232,88.5,19,7.3,251,95.8
W00009756,W00009756,160,80,36,18,196,98
W00009757,W00009757,281,85.9,38,11.6,319,97.5
W00009758,W00009758,286,90.8,21,6.7,307,97.5
W00009759,W00009759,202,77.7,50,19.2,252,96.9
W00009760,W00009760,257,78.8,60,18.4,317,97.2
W00009761,W00009761,272,86.9,37,11.8,309,98.7
W00009762,W00009762,324,90,31,8.6,355,98.6
W00009763,W00009763,264,90.4,17,5.8,281,96.2
W00009764,W00009764,228,86.4,24,9.1,252,95.5
W00009765,W00009765,253,91.3,21,7.6,274,98.9
W00009766,W00009766,256,90.1,19,6.7,275,96.8
W00009767,W00009767,298,90.9,25,7.6,323,98.5
W00009768,W00009768,229,81.5,50,17.8,279,99.3
W00009769,W00009769,168,82.8,33,16.3,201,99.1
W00009982,W00009982,823,52.5,247,15.8,1070,68.3
W00009983,W00009983,369,60.6,68,11.2,437,71.8
W00009985,W00009985,192,51.8,97,26.1,289,77.9
W00010115,W00010115,713,79.8,21,2.4,734,82.2
W00010116,W00010116,70,31,17,7.5,87,38.5
W00010118,W00010118,222,66.1,12,3.6,234,69.7
W00010119,W00010119,544,82.2,13,2,557,84.2
W00010120,W00010120,218,74.7,32,11,250,85.7
W00010121,W00010121,101,55.5,9,4.9,110,60.4
W00010122,W00010122,157,65.7,30,12.6,187,78.3
W00010123,W00010123,325,88.8,21,5.7,346,94.5
W00010124,W00010124,211,75.6,28,10,239,85.6
W00010125,W00010125,328,84.1,11,2.8,339,86.9
W00010127,W00010127,193,76.3,13,5.1,206,81.4
W00010128,W00010128,602,89.7,18,2.7,620,92.4
W00010129,W00010129,126,74.1,9,5.3,135,79.4
W00010130,W00010130,182,41.6,26,5.9,208,47.5
W00010131,W00010131,82,22.4,31,8.5,113,30.9
W00010132,W00010132,151,72.9,6,2.9,157,75.8
W00010133,W00010133,215,68.5,9,2.9,224,71.4
W00010134,W00010134,199,69.6,31,10.8,230,80.4
W00010135,W00010135,293,75.5,40,10.3,333,85.8
W00010136,W00010136,235,83.6,37,13.2,272,96.8
W00010137,W00010137,151,44.4,10,2.9,161,47.3
W00010138,W00010138,255,72.4,11,3.1,266,75.5
W00010139,W00010139,238,78.3,6,2,244,80.3
W00010140,W00010140,417,90.8,30,6.5,447,97.3
W00010141,W00010141,141,81.5,4,2.3,145,83.8
W00010142,W00010142,257,80.3,27,8.4,284,88.7
W00010143,W00010143,216,77.1,2,0.7,218,77.8
W00010146,W00010146,237,72.5,26,8,263,80.5
W00010147,W00010147,180,75.6,8,3.4,188,79
W00010148,W00010148,119,72.1,23,13.9,142,86
W00010149,W00010149,225,62.2,23,6.4,248,68.6
W00010151,W00010151,285,85.6,17,5.1,302,90.7
W00010152,W00010152,361,87.2,38,9.2,399,96.4
W00010153,W00010153,141,59.2,3,1.3,144,60.5
W00010154,W00010154,177,62.1,18,6.3,195,68.4
W00010155,W00010155,209,89.3,19,8.1,228,97.4
W00010156,W00010156,131,69.3,14,7.4,145,76.7
W00010157,W00010157,273,85.6,21,6.6,294,92.2
W00010158,W00010158,278,80.1,10,2.9,288,83
W00010159,W00010159,408,82.1,28,5.6,436,87.7
W00010160,W00010160,129,66.8,5,2.6,134,69.4
W00010161,W00010161,242,82.9,9,3.1,251,86
W00010162,W00010162,220,80,40,14.5,260,94.5
W00010163,W00010163,347,94.6,15,4.1,362,98.7
W00010164,W00010164,177,83.5,8,3.8,185,87.3
W00010165,W00010165,283,71.6,55,13.9,338,85.5
W00010166,W00010166,271,88.9,19,6.2,290,95.1
W00010167,W00010167,126,66.7,6,3.2,132,69.9
W00010168,W00010168,201,81.4,11,4.5,212,85.9
W00010169,W00010169,281,63.4,137,30.9,418,94.3
W00010170,W00010170,152,76.8,34,17.2,186,94
W00010171,W00010171,219,75.8,27,9.3,246,85.1
W00010172,W00010172,278,79.2,45,12.8,323,92
W00010173,W00010173,201,77.3,14,5.4,215,82.7
W00010174,W00010174,221,87,14,5.5,235,92.5
W00010175,W00010175,142,68.9,46,22.3,188,91.2
W00010176,W00010176,293,80.5,23,6.3,316,86.8
W00010179,W00010179,323,70.8,63,13.8,386,84.6
W00010180,W00010180,305,86.9,10,2.8,315,89.7
W00010181,W00010181,126,51.6,38,15.6,164,67.2
W00010182,W00010182,317,91.4,19,5.5,336,96.9
W00010183,W00010183,339,89.9,21,5.6,360,95.5
W00010184,W00010184,231,79.7,14,4.8,245,84.5
W00010185,W00010185,263,87.4,24,8,287,95.4
W00010186,W00010186,149,81.4,5,2.7,154,84.1
W00010187,W00010187,348,88.1,11,2.8,359,90.9
W00010188,W00010188,132,92.3,2,1.4,134,93.7
W00010189,W00010189,244,88.7,12,4.4,256,93.1
W00010190,W00010190,233,74.9,44,14.1,277,89
W00010191,W00010191,130,69.9,12,6.5,142,76.4
W00010192,W00010192,425,85.3,35,7,460,92.3
W00010193,W00010193,241,74.4,37,11.4,278,85.8
