2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00009001,W00009001,228,66.3,103,29.9,331,96.2
W00009002,W00009002,262,65.3,106,26.4,368,91.7
W00009003,W00009003,287,67.2,118,27.6,405,94.8
W00009004,W00009004,230,70.1,82,25,312,95.1
W00009005,W00009005,234,59.7,142,36.2,376,95.9
W00009006,W00009006,200,64.1,94,30.1,294,94.2
W00009007,W00009007,150,64.1,58,24.8,208,88.9
W00009008,W00009008,192,52,158,42.8,350,94.8
W00009009,W00009009,235,71.6,78,23.8,313,95.4
W00009010,W00009010,184,52.9,155,44.5,339,97.4
W00009011,W00009011,188,57.7,105,32.2,293,89.9
W00009012,W00009012,159,61.2,87,33.5,246,94.7
W00009013,W00009013,242,76.1,68,21.4,310,97.5
W00009014,W00009014,227,63.2,115,32,342,95.2
W00009015,W00009015,355,82.6,48,11.2,403,93.8
W00009016,W00009016,136,51.5,103,39,239,90.5
W00009017,W00009017,195,79.6,41,16.7,236,96.3
W00009018,W00009018,211,69.9,79,26.2,290,96.1
W00009019,W00009019,203,65.1,77,24.7,280,89.8
W00009020,W00009020,175,64.6,67,24.7,242,89.3
W00009021,W00009021,271,65.6,121,29.3,392,94.9
W00009022,W00009022,205,83.7,36,14.7,241,98.4
W00009023,W00009023,194,69.5,73,26.2,267,95.7
W00009024,W00009024,223,69.3,86,26.7,309,96
W00009025,W00009025,230,69.3,69,20.8,299,90.1
W00009026,W00009026,227,84.7,33,12.3,260,97
W00009027,W00009027,213,66.1,91,28.3,304,94.4
W00009028,W00009028,143,67.8,52,24.6,195,92.4
W00009029,W00009029,217,71.1,68,22.3,285,93.4
W00009030,W00009030,254,81.9,43,13.9,297,95.8
W00009031,W00009031,255,79.9,54,16.9,309,96.8
W00009032,W00009032,196,55.8,120,34.2,316,90
W00009033,W00009033,214,72.3,53,17.9,267,90.2
W00009034,W00009034,242,78.8,61,19.9,303,98.7
W00009035,W00009035,300,88.5,25,7.4,325,95.9
W00009036,W00009036,274,73.1,79,21.1,353,94.2
W00009037,W00009037,215,79,45,16.5,260,95.5
W00009038,W00009038,175,70,48,19.2,223,89.2
W00009039,W00009039,234,82.1,40,14,274,96.1
W00009040,W00009040,226,72.4,73,23.4,299,95.8
W00009041,W00009041,180,75,50,20.8,230,95.8
W00009042,W00009042,231,80.8,47,16.4,278,97.2
W00009043,W00009043,306,73,111,26.5,417,99.5
W00009044,W00009044,163,69.7,36,15.4,199,85.1
W00009045,W00009045,265,82.8,47,14.7,312,97.5
W00009046,W00009046,193,81.4,40,16.9,233,98.3
W00009047,W00009047,209,77.4,38,14.1,247,91.5
W00009048,W00009048,288,91.7,21,6.7,309,98.4
W00009049,W00009049,219,66,101,30.4,320,96.4
W00009050,W00009050,232,74.8,66,21.3,298,96.1
W00009051,W00009051,274,85.9,41,12.9,315,98.8
W00009052,W00009052,156,76.1,44,21.5,200,97.6
W00009053,W00009053,162,86.6,18,9.6,180,96.2
