2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00010193,W00010193,97,30,24,7.4,121,37.4
W00010194,W00010194,119,32.2,40,10.8,159,43
W00010195,W00010195,50,31.4,11,6.9,61,38.3
W00010196,W00010196,55,32.2,15,8.8,70,41
W00010197,W00010197,66,34.7,11,5.8,77,40.5
W00010198,W00010198,71,25.9,17,6.2,88,32.1
W00010199,W00010199,125,47.7,38,14.5,163,62.2
W00010200,W00010200,57,22.6,15,6,72,28.6
W00010201,W00010201,70,29.2,16,6.7,86,35.9
W00010202,W00010202,66,29.9,24,10.9,90,40.8
W00010203,W00010203,83,43.2,12,6.2,95,49.4
W00010204,W00010204,79,33.3,14,5.9,93,39.2
W00010205,W00010205,127,18.5,29,4.2,156,22.7
W00010206,W00010206,63,26,9,3.7,72,29.7
W00010207,W00010207,231,53.2,26,6,257,59.2
W00010208,W00010208,40,20.3,7,3.6,47,23.9
W00010210,W00010210,58,40.8,19,13.4,77,54.2
W00010211,W00010211,60,38.2,13,8.3,73,46.5
W00010212,W00010212,35,31.2,4,3.6,39,34.8
W00010213,W00010213,71,51.8,14,10.2,85,62
W00010214,W00010214,122,42.8,25,8.8,147,51.6
W00010215,W00010215,70,30.2,14,6,84,36.2
W00010216,W00010216,87,37.7,13,5.6,100,43.3
W00010217,W00010217,132,51,20,7.7,152,58.7
W00010218,W00010218,127,57.7,13,5.9,140,63.6
W00010219,W00010219,77,23.6,9,2.8,86,26.4
W00010221,W00010221,150,51.4,27,9.2,177,60.6
W00010222,W00010222,168,51.1,60,18.2,228,69.3
W00010223,W00010223,147,16,39,4.2,186,20.2
W00010224,W00010224,65,31.7,13,6.3,78,38
W00010225,W00010225,135,51.9,23,8.8,158,60.7
W00010227,W00010227,172,62.3,28,10.1,200,72.4
W00010228,W00010228,191,54.1,30,8.5,221,62.6
W00010229,W00010229,77,39.5,18,9.2,95,48.7
W00010230,W00010230,42,29.6,9,6.3,51,35.9
W00010231,W00010231,134,50,22,8.2,156,58.2
W00010232,W00010232,56,54.4,8,7.8,64,62.2
W00010363,W00010363,93,53.1,29,16.6,122,69.7
W00010497,W00010497,393,22.7,60,3.5,453,26.2
W00010498,W00010498,363,24.2,51,3.4,414,27.6
W00010500,W00010500,63,25.4,5,2,68,27.4
W00010502,W00010502,130,52,29,11.6,159,63.6
W00010510,W00010510,53,44.9,5,4.2,58,49.1
W00010517,W00010517,152,53.7,26,9.2,178,62.9
W00010519,W00010519,145,23.6,23,3.7,168,27.3
W00010522,W00010522,115,35.3,42,12.9,157,48.2
W00010523,W00010523,58,31.4,10,5.4,68,36.8
W00010526,W00010526,158,57.2,35,12.7,193,69.9
W00010528,W00010528,165,41.9,35,8.9,200,50.8
W00010529,W00010529,31,22.5,7,5.1,38,27.6
W00010534,W00010534,150,45,38,11.4,188,56.4
W00010535,W00010535,240,65.8,31,8.5,271,74.3
W00010536,W00010536,63,17.7,12,3.4,75,21.1
W00010537,W00010537,58,26.5,13,5.9,71,32.4
W00010538,W00010538,144,42.4,43,12.6,187,55
W00010541,W00010541,185,23.2,43,5.4,228,28.6
W00010542,W00010542,93,48.9,14,7.4,107,56.3
W00010546,W00010546,118,50,22,9.3,140,59.3
W00010549,W00010549,125,45.1,21,7.6,146,52.7
W00010552,W00010552,148,56.9,29,11.2,177,68.1
W00010556,W00010556,106,49.3,25,11.6,131,60.9
W00010558,W00010558,157,50.8,29,9.4,186,60.2
W00010559,W00010559,76,14.8,21,4.1,97,18.9
W00010560,W00010560,120,42.4,21,7.4,141,49.8
W00010562,W00010562,140,39.4,40,11.3,180,50.7
W00010568,W00010568,112,27.8,11,2.7,123,30.5
W00010569,W00010569,114,22.5,15,3,129,25.5
W00010572,W00010572,69,47.3,11,7.5,80,54.8
W00010573,W00010573,68,18.4,9,2.4,77,20.8
W00010574,W00010574,88,36.4,17,7,105,43.4
W00010579,W00010579,123,44.4,30,10.8,153,55.2
W00010580,W00010580,201,32.6,20,3.2,221,35.8
W00010581,W00010581,62,38,10,6.1,72,44.1
W00010584,W00010584,40,12,13,3.9,53,15.9
W00010585,W00010585,137,49.1,20,7.2,157,56.3
W00010586,W00010586,87,32.6,30,11.2,117,43.8
W00010587,W00010587,281,61.2,41,8.9,322,70.1
W00010589,W00010589,64,62.1,5,4.9,69,67
W00010594,W00010594,164,53.6,19,6.2,183,59.8
W00010595,W00010595,126,40.8,35,11.3,161,52.1
W00010596,W00010596,168,55.3,20,6.6,188,61.9
W00010597,W00010597,115,53.5,27,12.6,142,66.1
W00010600,W00010600,166,57.8,20,7,186,64.8
W00010601,W00010601,31,21.5,2,1.4,33,22.9
W00010602,W00010602,117,39.9,25,8.5,142,48.4
W00010603,W00010603,227,36.6,27,4.4,254,41
W00010612,W00010612,136,60.2,15,6.6,151,66.8
W00010613,W00010613,140,43.3,40,12.4,180,55.7
W00010615,W00010615,85,29.5,12,4.2,97,33.7
W00010623,W00010623,148,53.6,20,7.2,168,60.8
W00010626,W00010626,46,16,15,5.2,61,21.2
W00010629,W00010629,148,52.5,38,13.5,186,66
W00010630,W00010630,96,18.5,13,2.5,109,21
W00010631,W00010631,136,47.2,24,8.3,160,55.5
W00010633,W00010633,62,12.8,14,2.9,76,15.7
W00010635,W00010635,52,26.5,21,10.7,73,37.2
W00010636,W00010636,127,45.5,42,15.1,169,60.6
W00010638,W00010638,67,33.7,4,2,71,35.7
W00010639,W00010639,111,30.9,34,9.5,145,40.4
W00010640,W00010640,165,44.5,20,5.4,185,49.9
W00010641,W00010641,183,33.5,18,3.3,201,36.8
W00010643,W00010643,163,48.4,17,5,180,53.4
W00010644,W00010644,156,49.2,21,6.6,177,55.8
W00010645,W00010645,146,50.9,17,5.9,163,56.8
W00010646,W00010646,140,37.1,47,12.5,187,49.6
W00010648,W00010648,80,22.1,15,4.1,95,26.2
W00010649,W00010649,60,45.1,13,9.8,73,54.9
