2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00009003,W00009003,221,51.4,37,8.6,258,60
W00009004,W00009004,167,50.8,36,10.9,203,61.7
W00009005,W00009005,190,48.5,53,13.5,243,62
W00009006,W00009006,139,44.6,11,3.5,150,48.1
W00009007,W00009007,127,53.8,8,3.4,135,57.2
W00009008,W00009008,239,64.2,17,4.6,256,68.8
W00009009,W00009009,194,59.1,34,10.4,228,69.5
W00009010,W00009010,174,50.3,55,15.9,229,66.2
W00009011,W00009011,166,50.8,30,9.2,196,60
W00009012,W00009012,154,58.8,29,11.1,183,69.9
W00009013,W00009013,195,60.9,20,6.2,215,67.1
W00009014,W00009014,157,43.9,60,16.8,217,60.7
W00009015,W00009015,281,65.2,37,8.6,318,73.8
W00009016,W00009016,128,48.5,15,5.7,143,54.2
W00009017,W00009017,158,64.8,29,11.9,187,76.7
W00009018,W00009018,158,52.3,26,8.6,184,60.9
W00009019,W00009019,165,53.1,24,7.7,189,60.8
W00009020,W00009020,127,46.9,21,7.7,148,54.6
W00009021,W00009021,257,62.5,33,8,290,70.5
W00009022,W00009022,158,64.2,34,13.8,192,78
W00009023,W00009023,165,59.1,28,10,193,69.1
W00009024,W00009024,191,59.7,31,9.7,222,69.4
W00009025,W00009025,183,55.3,19,5.7,202,61
W00009026,W00009026,179,67,21,7.9,200,74.9
W00009027,W00009027,164,50.6,33,10.2,197,60.8
W00009028,W00009028,129,60.8,9,4.2,138,65
W00009029,W00009029,182,59.7,26,8.5,208,68.2
W00009030,W00009030,205,64.9,30,9.5,235,74.4
W00009031,W00009031,210,66,32,10.1,242,76.1
W00009032,W00009032,164,46.6,50,14.2,214,60.8
W00009033,W00009033,165,55.6,39,13.1,204,68.7
W00009034,W00009034,189,61.8,38,12.4,227,74.2
W00009035,W00009035,233,69.1,25,7.4,258,76.5
W00009036,W00009036,231,61.4,33,8.8,264,70.2
W00009037,W00009037,154,57,40,14.8,194,71.8
W00009038,W00009038,131,53,14,5.7,145,58.7
W00009039,W00009039,163,57.8,24,8.5,187,66.3
W00009040,W00009040,177,57.1,36,11.6,213,68.7
W00009041,W00009041,143,59.6,30,12.5,173,72.1
W00009042,W00009042,155,54.2,27,9.4,182,63.6
W00009043,W00009043,259,61.8,54,12.9,313,74.7
W00009044,W00009044,120,50.6,25,10.5,145,61.1
W00009045,W00009045,207,64.5,47,14.6,254,79.1
W00009046,W00009046,142,60.4,19,8.1,161,68.5
W00009047,W00009047,151,55.5,34,12.5,185,68
W00009048,W00009048,213,67.6,23,7.3,236,74.9
W00009049,W00009049,206,62.6,24,7.3,230,69.9
W00009050,W00009050,167,53.5,32,10.3,199,63.8
W00009051,W00009051,177,55.5,42,13.2,219,68.7
W00009052,W00009052,114,55.6,26,12.7,140,68.3
W00009053,W00009053,131,68.9,13,6.8,144,75.7
W00009054,W00009054,216,64.5,27,8.1,243,72.6
W00009055,W00009055,238,66.5,33,9.2,271,75.7
W00009056,W00009056,206,66.9,27,8.8,233,75.7
W00009057,W00009057,196,63.8,36,11.7,232,75.5
W00009058,W00009058,125,58.1,28,13,153,71.1
W00009059,W00009059,208,62.7,36,10.8,244,73.5
W00009060,W00009060,177,52.7,43,12.8,220,65.5
W00009061,W00009061,131,48,29,10.6,160,58.6
W00009062,W00009062,152,61,26,10.4,178,71.4
W00009063,W00009063,159,68.2,21,9,180,77.2
W00009064,W00009064,199,65,34,11.1,233,76.1
W00009065,W00009065,199,62.8,43,13.6,242,76.4
W00009066,W00009066,217,67.6,35,10.9,252,78.5
W00009067,W00009067,204,64.8,31,9.8,235,74.6
W00009068,W00009068,146,55.3,22,8.3,168,63.6
W00009069,W00009069,200,62.1,36,11.2,236,73.3
W00009070,W00009070,227,66.4,24,7,251,73.4
W00009071,W00009071,138,55.6,38,15.3,176,70.9
W00009072,W00009072,185,65.4,22,7.8,207,73.2
W00009073,W00009073,183,45.4,15,3.7,198,49.1
W00009074,W00009074,120,32,28,7.5,148,39.5
W00009075,W00009075,103,29.3,22,6.3,125,35.6
W00009077,W00009077,129,36.6,24,6.8,153,43.4
W00009080,W00009080,122,30.3,25,6.2,147,36.5
W00009081,W00009081,100,31.6,42,13.3,142,44.9
W00009082,W00009082,167,43.4,26,6.8,193,50.2
W00009084,W00009084,131,44.1,17,5.7,148,49.8
W00009085,W00009085,162,36.7,21,4.8,183,41.5
W00009086,W00009086,137,41.5,6,1.8,143,43.3
W00009087,W00009087,134,35.2,27,7.1,161,42.3
W00009088,W00009088,139,29.1,24,5,163,34.1
W00009089,W00009089,125,35.8,12,3.4,137,39.2
W00009090,W00009090,173,46.4,33,8.8,206,55.2
W00009091,W00009091,135,34.7,24,6.2,159,40.9
W00009092,W00009092,77,25.7,21,7,98,32.7
W00009093,W00009093,116,32,29,8,145,40
W00009094,W00009094,98,39,15,6,113,45
W00009095,W00009095,131,32.9,29,7.3,160,40.2
W00009096,W00009096,147,32.2,27,5.9,174,38.1
W00009097,W00009097,116,34.2,41,12.1,157,46.3
W00009098,W00009098,102,26.5,34,8.8,136,35.3
W00009099,W00009099,134,45.3,37,12.5,171,57.8
W00009100,W00009100,180,44.9,31,7.7,211,52.6
W00009101,W00009101,97,21.3,50,11,147,32.3
W00009102,W00009102,122,45.4,25,9.3,147,54.7
W00009104,W00009104,110,21,29,5.5,139,26.5
W00009105,W00009105,136,30.4,42,9.4,178,39.8
W00009106,W00009106,104,27.2,39,10.2,143,37.4
W00009107,W00009107,93,25.5,26,7.1,119,32.6
W00009108,W00009108,120,41.5,22,7.6,142,49.1
W00009109,W00009109,80,39.4,14,6.9,94,46.3
W00009110,W00009110,161,41.8,27,7,188,48.8
W00009111,W00009111,140,42.8,40,12.2,180,55
W00009112,W00009112,111,27.7,25,6.2,136,33.9
W00009113,W00009113,123,36.5,27,8,150,44.5
W00009114,W00009114,212,47.7,45,10.1,257,57.8
W00009115,W00009115,148,47,28,8.9,176,55.9
W00009116,W00009116,146,43.3,25,7.4,171,50.7
W00009117,W00009117,154,33.4,37,8,191,41.4
W00009118,W00009118,98,38.9,11,4.4,109,43.3
W00009119,W00009119,117,32.4,32,8.9,149,41.3
W00009120,W00009120,182,46,42,10.6,224,56.6
W00009121,W00009121,97,32.3,10,3.3,107,35.6
W00009123,W00009123,168,32.9,43,8.4,211,41.3
W00009125,W00009125,117,33,17,4.8,134,37.8
W00009126,W00009126,174,48.2,39,10.8,213,59
W00009127,W00009127,108,31.3,24,7,132,38.3
W00009128,W00009128,128,36.7,28,8,156,44.7
W00009129,W00009129,113,25,38,8.4,151,33.4
W00009130,W00009130,86,31.4,23,8.4,109,39.8
W00009131,W00009131,90,26.5,29,8.6,119,35.1
W00009132,W00009132,81,25.9,17,5.4,98,31.3
W00009133,W00009133,143,45.4,17,5.4,160,50.8
W00009134,W00009134,138,52.7,10,3.8,148,56.5
W00009135,W00009135,89,22,36,8.9,125,30.9
W00009136,W00009136,119,37.4,30,9.4,149,46.8
